fruits,nuts,flowers,snacks,trees,plants,spices,smokes,forests,animals,rocks,aromatic,sensitivie,pure,abundunt,grace,fresh,atractive,power
베르가못,아몬드,아카시아,꿀,목재,시트로넬라,아니스,카카오,양송이,호박,백약,고소,섬세,순수,풍성,우아,신선,세련,투박
레몬,헤이즐럿,산사나무,버터,코코넛,유칼립투스,계피,커피,낙엽,밀랍,자갈,,,순하,풍부,그윽,상쾌,화려,거칠
라임,호두,캐모마일,비스킷,파출리,펜넬,정향,캐러멜,버섯,사향고양이,석유,,,순한,크리미,벨벳,담백,매혹,텁텁
귤,캐슈넛,인동초,브리오슈,샌들우드,건초,고수,초콜릿,부식토,가죽,요오드,,,부드,,실크,산뜻,,떫
오렌지,파스타치오,아이리스,커스터드,오크,고사리,카레,연기,이끼,털,화약,,,은은,,감미,깔끔,,거친
자몽,개암,재스민,생크림,나무,풀,생강,타르,흙,들짐승,규석,,,,,,향긋,,풀바디
체리,견과,라일락,우유,,라벤더,월계수,모카,트러플,육즙,광물,,,,,,,,파워풀
딸기,,카네이션,효모,,민트,육두구,토스트,송로,무스크,,,,,,,,,강렬한
카시스,,모란,빵,,파프리카,감초,프랄린,,야생,,,,,,,,,자극
무화과,,장미,타르트,,딱총나무,로즈마리,담배,,,,,,,,,,,묵직
파인애플,,바이올렛,요거트,,담배,타임,코코아,,,,,,,,,,,강건
바나나,,꽃,,,차나무,바닐라,스모,,,,,,,,,,,
석류,,제비,,,보리수나무,샤프란,,,,,,,,,,,,
리치,,,,,버베나,파프리카,,,,,,,,,,,,
망고,,,,,수풀,스파이,,,,,,,,,,,,
멜론,,,,,허브,후추,,,,,,,,,,,,
백도,,,,,식물,시나몬,,,,,,,,,,,,
배,,,,,,,,,,,,,,,,,,
사과,,,,,,,,,,,,,,,,,,
살구,,,,,,,,,,,,,,,,,,
복숭아,,,,,,,,,,,,,,,,,,
자두,,,,,,,,,,,,,,,,,,
모과,,,,,,,,,,,,,,,,,,
콩포트,,,,,,,,,,,,,,,,,,
잼,,,,,,,,,,,,,,,,,,
대추야자,,,,,,,,,,,,,,,,,,
건포도,,,,,,,,,,,,,,,,,,
과일,,,,,,,,,,,,,,,,,,
과실,,,,,,,,,,,,,,,,,,
커런트,,,,,,,,,,,,,,,,,,
베리,,,,,,,,,,,,,,,,,,
패션,,,,,,,,,,,,,,,,,,
까시스,,,,,,,,,,,,,,,,,,
