ID,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,SUM
37197,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
37198,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6
37204,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
37205,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
37207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37208,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37209,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
37212,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
37214,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
37215,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
37221,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
37222,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
37223,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
37224,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4
37225,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
37226,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
37227,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
37229,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
37232,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
37233,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3
37236,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,5
