id,varieties
37197,"CabernetSauvignon86%,Carmenere7%,Merlot7%,"
37198,"CabernetSauvignon70%,Merlot20%,Carmenere&CabernetFranc&Syrah&PetitVerdot10%,"
37204,"Merlot80%,CabernetSauvignon20%,"
37205,"SauvignonBlanc60%,Semillon35%,Muscadelle5%,"
37207,"CabernetSauvignon100%,"
37208,"Merlot100%,"
37209,"SauvignonBlanc75%,Semillon5%,OtherGrapes20%,"
37212,"CabernetSauvignon75%,Merlot15%,CabernetFranc5%,PetitVerdot5%,"
37214,"Merlot95%,CabernetFranc5%,"
37215,"Merlot,CabernetSauvignon,CabernetFranc,PetitVerdot,"
37221,"Merlot50%,CabernetFranc47%,CabernetSauvignon3%,"
37222,"Merlot,CabernetSauvignon,CabernetFranc,"
37223,"CabernetSauvignon,Merlot,CabernetFranc,"
37224,"Merlot48%,CabernetSauvignon40%,CabernetFranc9%,PetitVerdot3%,"
37225,"CabernetSauvignon60%,Merlot40%,"
37226,"CabernetSauvignon,Merlot,CabernetFranc,"
37227,"CabernetSauvignon58%,Merlot42%,"
37229,"CabernetSauvignon58%,Merlot40%,CabernetFranc2%,"
37232,"CabernetSauvignon70%,Merlot20%,CabernetFranc10%,"
37233,"CabernetSauvignon80%,Merlot15%,PetitVerdot5%,"
37236,"CabernetSauvignon57%,Merlot30%,CabernetFranc7%,PetitVerdot4%,Malbec2%,"
37237,"CabernetSauvignon53%,Merlot27%,CabernetFranc20%,"
37238,"CabernetSauvignon70%,Merlot30%,"
37239,"CabernetSauvignon65%,Merlot25%,CabernetFranc10%,"
37240,"CabernetSauvignon65%,Merlot25%,CabernetFranc10%,"
37241,"CabernetSauvignon,Merlot,CabernetFranc,PetitVerdot,"
37242,"CabernetSauvignon65%,Merlot35%,"
37245,"CabernetSauvignon,Merlot,"
37246,"CabernetSauvignon73%,Merlot15%,CabernetFranc10%,PetitVerdot2%,"
37247,"CabernetSauvignon,Merlot,PetitVerdot,"
37248,"CabernetSauvignon,Merlot,CabernetFranc,"
37251,"CabernetSauvignon59%,Merlot33%,CabernetFranc8%,"
37252,"CabernetSauvignon62%,Merlot32%,CabernetFranc6%,"
37257,"Carmenere90%,CabernetSauvignon8%,PetitVerdot1.5%,CabernetFranc0.5%,"
37258,"CabernetSauvignon85%,Merlot15%,"
37259,"Carmenere85%,CabernetSauvignon15%,"
37260,"CabernetSauvignon100%,"
37261,"Carmenere100%,"
37264,"CabernetSauvignon,Carmenere,CabernetFranc,"
37265,"CabernetSauvignon94%,CabernetFranc6%,"
37266,"CabernetSauvignon95%,Carmenere2%,CabernetFranc3%,"
37267,"Carmenere85%,CabernetSauvignon5%,PetitVerdot5%,CabernetFranc5%,"
37268,"Concord,"
37269,"Blend,"
